INT	INT	INT	INT	STRING	STRING
INT	INT	INT	INT	STRING	STRING
112	992027713	992027713	2	59.33.36.65	59.33.36.65
113	992039581	992039581	2	59.33.82.157	59.33.82.157
114	992049251	992049251	3	59.33.120.99	59.33.120.99
115	992049285	992049285	2	59.33.120.133	59.33.120.133
116	992062994	992063002	3	59.33.174.18	59.33.174.26
117	992063003	992069119	1	59.33.174.27	59.33.197.255
118	992069888	992081663	1	59.33.201.0	59.33.246.255
119	992081715	992083705	1	59.33.247.51	59.33.254.249
120	992083706	992083706	2	59.33.254.250	59.33.254.250
121	992083707	992085443	1	59.33.254.251	59.34.5.195
122	992085504	992130559	1	59.34.6.0	59.34.181.255
123	992130816	992144384	1	59.34.183.0	59.34.236.0
124	992144585	992209407	1	59.34.236.201	59.35.233.255
125	992209664	992280703	1	59.35.235.0	59.37.0.127
126	992280832	992281599	1	59.37.1.0	59.37.3.255
127	992281648	992321564	1	59.37.4.48	59.37.160.28
128	992321565	992321565	3	59.37.160.29	59.37.160.29
129	992322331	992322331	2	59.37.163.27	59.37.163.27
130	992355090	992355090	2	59.38.35.18	59.38.35.18
131	992355091	992434687	1	59.38.35.19	59.39.89.255
132	992434692	992476415	1	59.39.90.4	59.39.252.255
133	992476672	992558079	1	59.39.254.0	59.41.59.255
134	992558096	992635871	1	59.41.60.16	59.42.107.223
135	992635904	992663231	1	59.42.108.0	59.42.214.191
136	992663296	992740607	1	59.42.215.0	59.44.4.255
137	992740609	992749049	1	59.44.5.1	59.44.37.249
138	992749050	992749050	2	59.44.37.250	59.44.37.250
139	992770122	992770122	2	59.44.120.74	59.44.120.74
140	992808430	992808430	2	59.45.13.238	59.45.13.238
141	992812628	992812628	2	59.45.30.84	59.45.30.84
142	992824598	992824598	2	59.45.77.22	59.45.77.22
143	992824599	992849185	1	59.45.77.23	59.45.173.33
144	992853504	992878945	1	59.45.190.0	59.46.33.97
145	992878946	992878946	2	59.46.33.98	59.46.33.98
146	992878947	992899071	1	59.46.33.99	59.46.111.255
147	992900096	992910847	1	59.46.116.0	59.46.157.255
148	992911104	992914431	1	59.46.159.0	59.46.171.255
149	992914688	993071283	1	59.46.173.0	59.49.16.179
150	993071284	993071284	2	59.49.16.180	59.49.16.180
151	993072026	993072026	2	59.49.19.154	59.49.19.154
152	993072027	993094399	1	59.49.19.155	59.49.106.255
153	993098752	993099007	1	59.49.124.0	59.49.124.255
154	993099776	993148927	1	59.49.128.0	59.50.63.255
155	993149440	993263871	1	59.50.66.0	59.52.0.255
156	993264640	993265151	1	59.52.4.0	59.52.5.255
157	993265664	993265919	1	59.52.8.0	59.52.8.255
158	993266176	993266687	1	59.52.10.0	59.52.11.255
159	993266944	993268223	1	59.52.13.0	59.52.17.255
160	993268736	993297407	1	59.52.20.0	59.52.131.255
161	993297664	993305599	1	59.52.133.0	59.52.163.255
162	993306624	993308415	1	59.52.168.0	59.52.174.255
163	993308928	993311487	1	59.52.177.0	59.52.186.255
164	993311744	993311999	1	59.52.188.0	59.52.188.255
165	993314304	993315327	1	59.52.198.0	59.52.201.255
166	993315584	993316863	1	59.52.203.0	59.52.207.255
167	993317120	993319679	1	59.52.209.0	59.52.218.255
168	993319936	993320959	1	59.52.220.0	59.52.223.255
169	993321216	993328127	1	59.52.225.0	59.52.251.255
170	993328640	993342463	1	59.52.254.0	59.53.51.255
171	993346560	993379071	1	59.53.68.0	59.53.194.255
172	993379328	993380351	1	59.53.196.0	59.53.199.255
173	993380608	993389055	1	59.53.201.0	59.53.233.255
174	993389312	993415167	1	59.53.235.0	59.54.79.255
175	993427456	993515519	1	59.54.128.0	59.55.215.255
176	993516544	993541631	1	59.55.220.0	59.56.61.255
177	993541888	993571071	1	59.56.63.0	59.56.176.255
178	993571073	993576959	1	59.56.177.1	59.56.199.255
179	993577216	993578751	1	59.56.201.0	59.56.206.255
180	993579008	993581055	1	59.56.208.0	59.56.215.255
181	993582080	993656401	1	59.56.220.0	59.57.254.81
182	993656402	993656402	2	59.57.254.82	59.57.254.82
183	993656403	993722367	1	59.57.254.83	59.58.255.255
184	993723136	993787647	1	59.59.3.0	59.59.254.255
185	993787904	993917165	1	59.60.0.0	59.61.248.237
186	993917166	993917166	2	59.61.248.238	59.61.248.238
187	993917167	993959935	1	59.61.248.239	59.62.159.255
188	993960137	993960703	1	59.62.160.201	59.62.162.255
189	993960905	994017279	1	59.62.163.201	59.63.127.255
190	994019328	994025471	1	59.63.136.0	59.63.159.255
191	994041856	994043903	1	59.63.224.0	59.63.231.255
192	994288384	994288639	3	59.67.163.0	59.67.163.255
193	994292736	994293759	3	59.67.180.0	59.67.183.255
194	994294784	994295807	3	59.67.188.0	59.67.191.255
195	994303488	994303999	3	59.67.222.0	59.67.223.255
196	994310144	994312191	3	59.67.248.0	59.67.255.255
197	994372608	994373631	3	59.68.236.0	59.68.239.255
198	994646016	994656255	3	59.73.24.0	59.73.63.255
199	994684928	994689023	3	59.73.176.0	59.73.191.255
200	994697216	994705407	3	59.73.224.0	59.73.255.255
201	994716672	994717695	3	59.74.44.0	59.74.47.255
202	994742272	994770943	3	59.74.144.0	59.74.255.255
203	994789376	994791423	3	59.75.72.0	59.75.79.255
204	994807296	994807807	3	59.75.142.0	59.75.143.255
205	994818048	994820095	3	59.75.184.0	59.75.191.255
206	994824704	994828287	3	59.75.210.0	59.75.223.255
207	994834432	994836479	3	59.75.248.0	59.75.255.255
208	994847232	994847743	3	59.76.42.0	59.76.43.255
209	994863104	994869247	3	59.76.104.0	59.76.127.255
210	994873344	994885631	3	59.76.144.0	59.76.191.255
211	994927360	994927615	3	59.77.99.0	59.77.99.255
212	994930688	994934783	3	59.77.112.0	59.77.127.255
213	994936832	994938879	3	59.77.136.0	59.77.143.255
214	994946048	994947071	3	59.77.172.0	59.77.175.255
215	994989824	994990079	3	59.78.87.0	59.78.87.255
216	995020800	995032831	3	59.78.208.0	59.78.254.255
217	995064832	995065855	3	59.79.124.0	59.79.127.255
218	995083008	995090431	3	59.79.195.0	59.79.223.255
219	995098624	995100415	1	59.80.0.0	59.80.6.255
220	995100672	995181823	1	59.80.8.0	59.81.68.255
221	995185408	995360767	1	59.81.83.0	59.83.255.255
222	996671488	996714239	1	59.104.0.0	59.104.166.255
223	996714496	996802559	1	59.104.168.0	59.105.255.255
224	997138563	997138597	2	59.111.32.131	59.111.32.165
225	997261312	997556223	1	59.113.0.0	59.117.127.255
226	997557504	997565951	1	59.117.133.0	59.117.165.255
227	997566208	998244351	1	59.117.167.0	59.127.255.255
228	999555072	999686143	1	59.148.0.0	59.149.255.255
229	999948288	1000013823	1	59.154.0.0	59.154.255.255
230	1001127936	1001375743	1	59.172.0.0	59.175.199.255
231	1001375766	1001378559	1	59.175.200.22	59.175.210.255
232	1001378816	1001390079	1	59.175.212.0	59.175.255.255
233	1002394112	1002397695	2	59.191.82.0	59.191.95.255
234	1006632960	1006786815	2	60.0.0.0	60.2.88.255
235	1006787072	1007110399	2	60.2.90.0	60.7.72.255
236	1007111168	1007116287	2	60.7.76.0	60.7.95.255
237	1007116544	1007169791	2	60.7.97.0	60.8.48.255
238	1007169793	1007365856	2	60.8.49.1	60.11.46.224
239	1007365888	1007369728	2	60.11.47.0	60.11.62.0
240	1007369856	1007401216	2	60.11.62.128	60.11.185.0
241	1007401472	1007426047	2	60.11.186.0	60.12.25.255
242	1007426304	1007442122	2	60.12.27.0	60.12.88.202
243	1007442123	1007442123	1	60.12.88.203	60.12.88.203
244	1007442124	1007455999	2	60.12.88.204	60.12.142.255
245	1007456256	1007530239	2	60.12.144.0	60.13.176.255
246	1007530496	1007573632	2	60.13.178.0	60.14.90.128
247	1007573760	1007624255	2	60.14.91.0	60.15.32.63
248	1007624448	1007626751	2	60.15.33.0	60.15.41.255
249	1007626756	1007632127	2	60.15.42.4	60.15.62.255
250	1007632384	1008063496	2	60.15.64.0	60.21.212.8
251	1008063497	1008063511	1	60.21.212.9	60.21.212.23
